"rank","movie","year_released","american_box_office","international_box_office","total_box_office"
104,"Captain America: The Winter Soldier",2014,259746958,454654931,714401889
105,"Dawn of the Planet of the Apes",2014,208545589,502098977,710644566
106,"The Amazing Spider-Man 2",2014,202853933,506142403,708996336
107,"Transformers",2007,319246193,389026399,708272592
108,"The Twilight Saga: Eclipse",2010,300531751,405571077,706102828
109,"It",2017,327481748,369976221,697457969
110,"Liu Lang Di Qiu",2019,0,695077536,695077536
111,"Mission: Impossible—Ghost Protocol",2011,209397903,485315327,694713230
112,"Gravity",2013,274092705,419605968,693698673
113,"The Twilight Saga: Breaking Dawn, Part 1",2011,281287133,408132918,689420051
114,"Mission: Impossible—Rogue Nation",2015,195042377,493816615,688858992
115,"The Twilight Saga: New Moon",2009,296623634,390934093,687557727
116,"Forrest Gump",1994,330151138,349699499,679850637
117,"The Hunger Games",2012,408010692,269912687,677923379
118,"Doctor Strange",2016,232641920,443762646,676404566
119,"The Sixth Sense",1999,293506292,379300000,672806292
120,"Man of Steel",2013,291045518,376954000,667999518
121,"Interstellar",2014,188017894,478361481,666379375
122,"Kung Fu Panda 2",2011,165249063,499588484,664837547
123,"Star Wars Ep. II: Attack of the Clones",2002,310676740,346018875,656695615
124,"Justice League",2017,229024295,426920914,655945209
125,"The Martian",2015,228433663,426837780,655271443
126,"Men in Black 3",2012,179020854,475192631,654213485
127,"Fantastic Beasts: The Crimes of Grindelwald",2018,159555901,492664185,652220086
128,"Big Hero 6",2014,222527828,429600000,652127828
129,"Ice Age: The Meltdown",2006,195330621,456568661,651899282
130,"The Hunger Games: Mockingjay - Part 2",2015,281723902,367262885,648986787
131,"Thor: The Dark World",2013,206362140,438240376,644602516
132,"Moana",2016,248757044,388760321,637517365
133,"Pirates of the Caribbean: The Curse of the Blac…",2003,305411224,329542879,634954103
134,"Sing",2016,270329045,364125744,634454789
135,"Kung Fu Panda",2008,215434591,416475940,631910531
136,"Fast Five",2011,210031325,420132129,630163454
137,"Ratatouille",2007,206445654,420104041,626549695
138,"Hancock",2008,227946274,396287998,624234272
139,"Ant-Man and the Wasp",2018,216648740,406495920,623144660
140,"The Passion of the Christ",2004,370782930,251558994,622341924
141,"Iron Man 2",2010,312433331,308723058,621156389
142,"The Lost World: Jurassic Park",1997,229086679,389552320,618638999
143,"Mamma Mia!",2008,144130063,471618709,615748772
144,"Logan",2017,226277068,389184326,615461394
145,"The Incredibles",2004,261441092,353285660,614726752
146,"How to Train Your Dragon 2",2014,177002924,437583346,614586270
147,"Beauty and the Beast",1991,376057266,232373866,608431132
148,"Life of Pi",2012,124987022,482271612,607258634
149,"War of the Worlds",2005,234280354,372556181,606836535
150,"Transformers: The Last Knight",2017,130168683,472724657,602893340
151,"Madagascar: Escape 2 Africa",2008,180174880,419505894,599680774
152,"Casino Royale",2006,167365000,427055283,594420283
153,"Quantum of Solace",2008,169368427,422323651,591692078
154,"Men in Black",1997,250690539,337100000,587790539
155,"Tangled",2010,200821936,385655304,586477240
156,"The Hangover Part II",2011,254464305,332000000,586464305
157,"I am Legend",2007,256393010,329139674,585532684
158,"Iron Man",2008,318604126,266567421,585171547
159,"Night at the Museum",2006,250863268,328583139,579446407
160,"Ready Player One",2018,137690172,441599964,579290136
161,"Hong Hai Xing Dong",2018,1543547,576647204,578190751
162,"The Croods",2013,187168425,385900000,573068425
163,"Star Wars Ep. VI: Return of the Jedi",1983,309205079,263500000,572705079
164,"Fifty Shades of Grey",2015,166167230,404830871,570998101
165,"The Smurfs",2011,142614158,421135165,563749323
166,"Kong: Skull Island",2017,168052812,393019247,561072059
167,"Cars 2",2011,191450875,368704508,560155383
168,"Monsters, Inc.",2001,289423425,270334294,559757719
169,"Madagascar",2005,193595521,362964045,556559566
170,"The Day After Tomorrow",2004,186740799,369578651,556319450
171,"Ted",2012,218665740,337350887,556016627
172,"Puss in Boots",2011,149260504,405726973,554987477
173,"Brave",2012,237282182,317324350,554606532
174,"Armageddon",1998,201578182,353021818,554600000
175,"Mei Ren Yu",2016,3229457,551287214,554516671
176,"King Kong",2005,218080025,332437332,550517357
177,"Mission: Impossible 2",2000,215409889,334178627,549588516
178,"American Sniper",2014,350126372,197200000,547326372
179,"Tang Ren Jie Tan An 2",2018,1983984,542084590,544068574
180,"Despicable Me",2010,251513985,291950588,543464573
181,"X-Men: Apocalypse",2016,155442489,387095057,542537546
182,"Sherlock Holmes: A Game of Shadows",2011,186848418,348815025,535663443
183,"Cinderella",2015,201151353,333400000,534551353
184,"Star Wars Ep. V: The Empire Strikes Back",1980,290271960,243889374,534161334
185,"The Revenant",2015,183637894,349300408,532938302
186,"WALL-E",2008,223808164,308699861,532508025
187,"World War Z",2013,202359711,329154939,531514650
188,"The Meg",2018,145443742,384086973,529530715
189,"Godzilla",2014,200676069,328400000,529076069
190,"Hotel Transylvania 3: Summer Vacation",2018,167500092,359577586,527077678
191,"The Simpsons Movie",2007,183135014,343936008,527071022
192,"Ralph Breaks The Internet",2018,201091711,323196956,524288667
193,"Ant-Man",2015,180202163,338656286,518858449
194,"Ghost",1990,217631306,299968694,517600000
195,"Kung Fu Panda 3",2016,143528619,374070523,517599142
196,"Meet the Fockers",2004,279167575,237400000,516567575
197,"Terminator 2: Judgment Day",1991,203464105,311955722,515419827
198,"How to Train Your Dragon: The Hidden World",2019,159105140,355400000,514505140
199,"Toy Story 2",1999,245852179,265506097,511358276
200,"Dr. Seuss’ The Grinch",2018,270620950,240387329,511008279
201,"The Boss Baby",2017,175003033,335875729,510878762
202,"Aladdin",1992,217350219,286700000,504050219
203,"Dunkirk",2017,190068280,309769088,499837368
204,"Sherlock Holmes",2009,209028679,289409533,498438212
205,"Wreck-It Ralph",2012,189412677,307098844,496511521
206,"Twister",1996,241688385,254011615,495700000
207,"How to Train Your Dragon",2010,217581232,277289760,494870992
208,"Clash of the Titans",2010,163214888,330000000,493214888
209,"Rio 2",2014,131538435,361307856,492846291
210,"Shrek",2001,267655011,224157783,491812794
211,"Angels & Demons",2009,133375846,357500000,490875846
212,"Oz the Great and Powerful",2013,234770996,255588055,490359051
213,"War for the Planet of the Apes",2017,146880162,342712105,489592267
214,"Rio",2011,143619809,343900000,487519809
215,"Mr. and Mrs. Smith",2005,186336279,299787811,486124090
216,"Saving Private Ryan",1998,216335085,268700000,485035085
217,"Teenage Mutant Ninja Turtles",2014,191204754,293800000,485004754
218,"Les Intouchables",2012,13182281,471690764,484873045
219,"Bruce Almighty",2003,242704995,241763613,484468608
220,"Troy",2004,133298577,350862688,484161265
221,"Home Alone",1990,285761243,190923432,476684675
222,"Charlie and the Chocolate Factory",2005,206459076,269366408,475825484
223,"Indiana Jones and the Last Crusade",1989,197171806,277000000,474171806
224,"Rise of the Planet of the Apes",2011,176760185,294226015,470986200
225,"Jaws",1975,260000000,210700000,470700000
226,"Hotel Transylvania 2",2015,169700110,299800188,469500298
227,"Star Trek Into Darkness",2013,228778661,238602923,467381584
228,"The Hangover",2009,277322503,188441583,465764086
229,"Bumblebee",2018,127195589,338000000,465195589
230,"The Matrix",1999,171479930,292037453,463517383
231,"Cars",2006,244082982,217568264,461651246
232,"X-Men: The Last Stand",2006,234362462,224898484,459260946
233,"The Lego Movie",2014,257784718,199944670,457729388
234,"Mission: Impossible",1996,180981886,276716108,457697994
235,"Gladiator",2000,187683805,270000000,457683805
236,"Lucy",2014,126573960,330933816,457507776
237,"National Treasure: Book of Secrets",2007,219961501,237364303,457325804
238,"The Last Samurai",2003,111110575,345700000,456810575
239,"San Andreas",2015,155190832,301067707,456258539
240,"300",2007,210614939,243546996,454161935
241,"Wo Bi Shi Yao Shen",2018,0,451176640,451176640
242,"Ocean's Eleven",2001,183417150,267311379,450728529
243,"Django Unchained",2012,162805434,287142889,449948323
244,"Thor",2011,181030624,268295994,449326618
245,"Pearl Harbor",2001,198539855,250700000,449239855
246,"Tarzan",1999,171091819,277100000,448191819
247,"The Bourne Ultimatum",2007,227471070,216572326,444043396
248,"Alvin and the Chipmunks: The Squeakquel",2009,219614612,223868601,443483213
249,"Les Miserables",2012,148809770,293359282,442169052
250,"Men in Black 2",2002,190418803,251349000,441767803
251,"Mrs. Doubtfire",1993,219195051,222090952,441286003
252,"The Mummy Returns",2001,202007640,233032755,435040395
253,"A Star is Born",2018,215288866,218559151,433848017
254,"Terminator 3: Rise of the Machines",2003,150358296,282700000,433058296
255,"Pretty Woman",1990,178406268,254239604,432645872
256,"Terminator: Genisys",2015,89760956,342389938,432150894
257,"Die Another Day",2002,160942139,271000000,431942139
258,"The King’s Speech",2010,138797449,292023719,430821168
259,"The Exorcist",1973,230347346,197867132,428214478
260,"Rampage",2018,101028233,327028047,428056280
261,"The Matrix Revolutions",2003,139270910,288029350,427300260
262,"Cast Away",2000,233632142,193598374,427230516
263,"La La Land",2016,151101803,275422363,426524166
264,"Warcraft",2016,47225655,378296626,425522281
265,"Dances with Wolves",1990,184208842,239991158,424200000
266,"The Chronicles of Narnia: The Voyage of the Daw…",2010,104386950,313800000,418186950
267,"The Chronicles of Narnia: Prince Caspian",2008,141621490,275719798,417341288
268,"The Wolverine",2013,132556852,283900000,416456852
269,"The Mummy",1999,155385488,261000000,416385488
270,"Jason Bourne",2016,162192920,253975396,416168316
271,"Sex and the City",2008,152647258,262600000,415247258
272,"Rain Man",1988,172825435,239974565,412800000
273,"Batman",1989,251188924,160160000,411348924
274,"Pacific Rim",2013,101802906,309200000,411002906
275,"The Bodyguard",1992,121945720,288953319,410899039
